ID NO,"Eval (Best6) (50)","Midsem(70)","Pre-compre(120)"
P1N,,,
2022A8PS1240P,42.2,47.5,89.7
2022A3PS0412P,47.8,41,88.8
2022A4PS0831P,41.9,49.5,91.4
2022A7PS0012P,46.9,22,68.9
2022A1PS1572P,49.4,48,97.4
2022AAPS0019P,46.4,28,74.4
2022A1PS1115P,49.4,21,70.4
2022A7PS0135P,46.9,46,92.9
2022A3PS0430P,46.7,44.5,91.2
2022A7PS0131P,35.6,25,60.6
2022A4PS0422P,37.2,42,79.2
2022A7PS0123P,49.2,61.5,110.7
2022A3PS1218P,50.0,60.5,110.5
2022A7PS1172P,42.5,21.5,64.0
2022A4PS0372P,49.2,35.5,84.7
2022A1PS1351P,45.0,14,59.0
2022A8PS1255P,48.9,41.5,90.4
2022A7PS0077P,0.0,2,2.0
2022A4PS1287P,45.3,35.5,80.8
2022A7PS0001P,50.0,47.5,97.5
2022A1PS1615P,42.5,23,65.5
2022A7PS0130P,28.9,26,54.9
2022A4PS0798P,48.3,33,81.3
2022A1PS0832P,41.4,21,62.4
2022A3PS0420P,48.9,22.5,71.4
2022A8PS1252P,46.7,41,87.7
2022A1PS1567P,36.1,23.5,59.6
2022A4PS1277P,49.2,54,103.2
2022A7PS0144P,47.8,55,102.8
2022A8PS0481P,46.4,20.5,66.9
2022A7PS0195P,30.3,23,53.3
2022A3PS0406P,45.8,18,63.8
2022A7PS0132P,50.0,62,112.0
2022A7PS0183P,49.7,16,65.7
2022A7PS0154P,49.2,43.5,92.7
2022A4PS0716P,47.8,20,67.8
2022A8PS0572P,41.1,29,70.1
2022AAPS0339P,50.0,47.5,97.5
2022A1PS1666P,50.0,51,101.0
2022A1PS1565P,49.4,53,102.4
2022A4PS0676P,48.1,35.5,83.6
2022AAPS0215P,45.8,57,102.8
2022A1PS0982P,47.2,12,59.2
2022A8PS0587P,49.2,57,106.2
P2N,,,
2022A8PS0020P,29.7,22,51.7
2022A7PS0063P,0.0,3,3.0
2022A7PS0116P,11.1,14,25.1
2022A7PS0125P,48.1,37,85.1
2022AAPS0216P,47.2,42.5,89.7
2022AAPS0253P,50.0,59.5,109.5
2022AAPS0344P,40.0,48.5,88.5
2022A3PS0384P,48.3,33,81.3
2022A3PS0392P,49.4,55,104.4
2022A4PS0485P,35.0,16,51.0
2022A3PS0504P,46.4,30.5,76.9
2022A3PS0526P,47.8,43.5,91.3
2022A1PS0742P,46.1,48.5,94.6
2022A4PS0911P,40.6,45.5,86.1
2022A1PS0948P,45.6,27.5,73.1
2022A4PS0957P,26.9,12.5,39.4
2022A7PS1180P,49.7,56,105.7
2022A3PS1199P,35.8,27,62.8
2022A8PS1261P,43.6,43,86.6
2022A8PS1265P,36.9,18,54.9
2022A4PS1275P,43.6,53,96.6
2022A4PS1283P,42.8,35,77.8
2022A4PS1295P,42.8,41,83.8
2022A1PS1307P,42.2,49,91.2
2022A1PS1322P,41.4,43,84.4
2022A1PS1327P,33.6,26.5,60.1
2022A1PS1339P,42.8,17,59.8
2022A1PS1356P,44.4,23,67.4
2020B5A22011,0.0,13,13.0
P3N,,,
2022A7PS0006P,48.6,43,91.6
2022A7PS0011P,47.8,18.5,66.3
2022A7PS0014P,48.9,43,91.9
2022A7PS0016P,49.4,52.5,101.9
2022AAPS0021P,50.0,33.5,83.5
2022AAPS0025P,50.0,33,83.0
2022A7PS0055P,49.4,64.5,113.9
2022A7PS0086P,45.8,25,70.8
2022A7PS0114P,38.9,30.5,69.4
2022A7PS0150P,49.7,38.5,88.2
2022A7PS0152P,45.8,28,73.8
2022A7PS0157P,49.4,28,77.4
2022A7PS0169P,47.8,26,73.8
2022AAPS0214P,46.7,56,102.7
2022AAPS0219P,47.5,32.5,80.0
2022AAPS0258P,49.2,46,95.2
2022AAPS0266P,46.9,51,97.9
2022AAPS0300P,44.7,40.5,85.2
2022A4PS0355P,40.8,20,60.8
2022A3PS0378P,41.1,16,57.1
2022A3PS0402P,41.7,39,80.7
2022A3PS0419P,50.0,64,114.0
2022A3PS0478P,50.0,51.5,101.5
2022A3PS0483P,50.0,33,83.0
2022A3PS0493P,50.0,60.5,110.5
2022A8PS0539P,48.1,37,85.1
2022A8PS0561P,50.0,60.5,110.5
2022A4PS0599P,48.6,20.5,69.1
2022A8PS0622P,45.0,26,71.0
2022A4PS0649P,50.0,51,101.0
2022A4PS0651P,49.2,34,83.2
2022A4PS0669P,42.2,50.5,92.7
2022A4PS0689P,49.2,49.5,98.7
2022A4PS0697P,48.3,57,105.3
2022A1PS0824P,49.4,42,91.4
2022A4PS0915P,39.2,32,71.2
2022A4PS0919P,50.0,49.5,99.5
2022A4PS0942P,41.1,32.5,73.6
2022A1PS1149P,49.4,52,101.4
2022A3PS1200P,48.9,55.5,104.4
2022A8PS1267P,47.8,28.5,76.3
2022A1PS1340P,48.9,47,95.9
2022A1PS1343P,45.3,26,71.3
2022A1PS1597P,38.1,30,68.1
P4N,,,
2022A7PS0004P,49.7,42,91.7
2022A7PS0007P,35.6,33,68.6
2022A7PS0013P,49.2,45,94.2
2022A7PS0049P,50.0,44.5,94.5
2022A7PS0068P,43.1,17.5,60.6
2022A7PS0073P,22.2,14,36.2
2022A7PS0074P,48.3,42,90.3
2022A7PS0092P,0.0,0,0.0
2022A7PS0093P,49.7,52.5,102.2
2022A7PS0103P,49.7,38.5,88.2
2022A7PS0160P,49.4,68.5,117.9
2022A7PS0166P,49.7,44,93.7
2022A7PS0177P,48.6,48.5,97.1
2022A7PS0180P,49.4,52.5,101.9
2022AAPS0217P,41.7,45.5,87.2
2022AAPS0257P,27.5,31,58.5
2022AAPS0292P,49.4,39,88.4
2022AAPS0314P,48.6,45,93.6
2022AAPS0318P,43.9,17,60.9
2022AAPS0347P,50.0,38,88.0
2022AAPS0363P,48.1,44.5,92.6
2022A3PS0387P,41.7,45,86.7
2022A3PS0427P,48.1,26,74.1
2022A3PS0447P,38.3,20,58.3
2022A3PS0448P,45.0,42,87.0
2022A3PS0465P,46.1,41,87.1
2022A3PS0467P,37.5,10,47.5
2022A3PS0508P,45.8,30,75.8
2022A8PS0564P,46.1,53,99.1
2022A4PS0808P,46.4,30,76.4
2022A1PS0820P,47.8,33,80.8
2022A4PS0975P,46.4,15,61.4
2022AAPS1191P,47.2,27,74.2
2022A8PS1210P,43.6,16,59.6
2022A3PS1212P,48.3,24,72.3
2022A3PS1215P,47.8,35,82.8
2022A3PS1220P,47.2,56,103.2
2022A8PS1243P,49.2,20.5,69.7
2022A8PS1260P,49.2,64,113.2
2022A8PS1270P,45.8,43.5,89.3
2022A4PS1274P,43.6,28.5,72.1
2022A4PS1296P,50.0,44.5,94.5
2022A1PS1595P,44.7,55.5,100.2
2022A1PS1695P,45.0,41,86.0
2022AAPS0230P,0.0,5.5,5.5
P5N,,,
2022A7PS0010P,48.6,60.5,109.1
2022A7PS0033P,45.8,19.5,65.3
2022A7PS0038P,48.6,25,73.6
2022A7PS0056P,49.4,59.5,108.9
2022A7PS0065P,44.7,39,83.7
2022A7PS0080P,49.2,66,115.2
2022A7PS0133P,49.4,53,102.4
2022A7PS0142P,48.9,47.5,96.4
2022A7PS0148P,40.8,31.5,72.3
2022A7PS0156P,30.6,27,57.6
2022A7PS0178P,49.7,63.5,113.2
2022AAPS0231P,48.6,28,76.6
2022AAPS0234P,47.5,48,95.5
2022AAPS0256P,49.7,49.5,99.2
2022AAPS0264P,46.7,43,89.7
2022A3PS0327P,48.1,37.5,85.6
2022A3PS0394P,46.7,30,76.7
2022A3PS0418P,46.7,61.5,108.2
2022A3PS0441P,45.8,24,69.8
2022A3PS0445P,44.2,25,69.2
2022A3PS0471P,48.1,51.5,99.6
2022A3PS0498P,48.6,51,99.6
2022A3PS0500P,38.6,30.5,69.1
2022A3PS0503P,35.0,4,39.0
2022A3PS0507P,24.7,17,41.7
2022A4PS0545P,43.9,18.5,62.4
2022A8PS0583P,43.9,53,96.9
2022A1PS0589P,50.0,31,81.0
2022A8PS0591P,34.7,51,85.7
2022A4PS0626P,43.9,17,60.9
2022A4PS0792P,46.9,48,94.9
2022A1PS0946P,40.8,10,50.8
2022A4PS0947P,41.4,61,102.4
2022A7PS1181P,47.2,22,69.2
2022A3PS1214P,48.6,60,108.6
2022A3PS1223P,46.1,36,82.1
2022A3PS1234P,48.9,54.5,103.4
2022A8PS1263P,42.5,40.5,83.0
2022A4PS1273P,4.4,20.5,24.9
2022A4PS1284P,47.8,26,73.8
2022A4PS1289P,48.1,25.5,73.6
2022A4PS1562P,46.4,47,93.4
P6N,,,
