ID,Section,Lab-01,Lab-02,Lab-03,Lab-04,Lab-05,Lab-06,Lab-07,Lab-08,Lab-09 (17.5),Lab-10,Best 8,Normalize,Compre quiz(60),Total,Total
2022A1PS0984P,P10N,12.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,140,140,25,165,165
2022A1PS1075P,P10N,17,17,0,0,17.5,17.5,0,16.5,17.5,17.5,120.5,120.5,29.5,150,150
2022A1PS1149P,P10N,16,17.5,11.5,17,17.5,17.5,17.5,17.5,17.5,17.5,139.5,139.5,22.5,162,162
2022A2PS1076P,P10N,17.5,17.5,17.5,16.5,17.5,0,5.5,17.5,17.5,17.5,139,139,15.5,154.5,155
2022A2PS1092P,P10N,17.5,17.5,17.5,16.5,17.5,17.5,17,16.5,16.5,0,137.5,137.5,10.5,148,148
2022A2PS1713P,P10N,0,17.5,16.5,17.5,0,17.5,17.5,16.5,17.5,17.5,138,138,12,150,150
2022A3PS0022P,P10N,17.5,17.5,17.5,17,0,17.5,0,17.5,17.5,0,122,122,30.5,152.5,153
2022A3PS0327P,P10N,0,17.5,0,0,17.5,17.5,16,17.5,17.5,17.5,121,121,39,160,160
2022A3PS0364P,P10N,17,17.5,17.5,13.5,17.5,17.5,16.5,0,17.5,17.5,138.5,138.5,35,173.5,174
2022A3PS0375P,P10N,17,17,17.5,17,17.5,17.5,17,17.5,17.5,17.5,139,139,37.5,176.5,177
2022A3PS0378P,P10N,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,0,5.5,140,140,37.5,177.5,178
2022A4PS0599P,P10N,17,16.5,17.5,14.5,17.5,17,17.5,17.5,17.5,17.5,139,139,28.5,167.5,168
2022A4PS0640P,P10N,17.5,17,17.5,16.5,17.5,17,17.5,17.5,17.5,17.5,139.5,139.5,26.5,166,166
2022A4PS0673P,P10N,17.5,17.5,17.5,16,17.5,17.5,17.5,17.5,17.5,17.5,140,140,30,170,170
2022A4PS0702P,P10N,17.5,17.5,12.5,16,17.5,5.5,0,0,17.5,17.5,121.5,121.5,30.5,152,152
2022A4PS0926P,P10N,16.5,17.5,17.5,16.5,17.5,17,17.5,17.5,0,0,137.5,137.5,22,159.5,160
2022A5PS1413P,P10N,17.5,15.5,17.5,17.5,17.5,0,17.5,17.5,17.5,0,138,138,16,154,154
2022A7PS0144P,P10N,17.5,17.5,17.5,17.5,17.5,17,17.5,17.5,17.5,0,140,140,44.5,184.5,185
2022AAPS0248P,P10N,17.5,17.5,17.5,14.5,17.5,16.5,17.5,17.5,17.5,5.5,139,139,53,192,192
2022AAPS0268P,P10N,17,17.5,16.5,16.5,17.5,17.5,17.5,16.5,17.5,5.5,137.5,137.5,38.5,176,176
2022AAPS0321P,P10N,17.5,17.5,14.5,15,17,16.5,17.5,17.5,0,15.5,134,134,36.5,170.5,171
2022AAPS0331P,P10N,17.5,17.5,14.5,14.5,17.5,17.5,17.5,5.5,0,0,122,122,24.5,146.5,147
2022AAPS0358P,P10N,12.5,15.5,14.5,16,0,17.5,17.5,16.5,17.5,0,127.5,127.5,34,161.5,162
2022AAPS0366P,P10N,17.5,17.5,17.5,16.5,17.5,17.5,17.5,0,0,17.5,139,139,34.5,173.5,174
2022B1PS0849P,P10N,17.5,0,17.5,15.5,17.5,17.5,17.5,17.5,17.5,17.5,140,140,22.5,162.5,163
2022B1PS1096P,P10N,17.5,17.5,17.5,16.5,17.5,0,17.5,17.5,0,17.5,139,139,26,165,165
2022B1PS1132P,P10N,17.5,17.5,17.5,16.5,17.5,15.5,5.5,17.5,17.5,5.5,137,137,19.5,156.5,157
2022B1PS1725P,P10N,0,17.5,16.5,17.5,17.5,17.5,17.5,0,17.5,5.5,127,127,6,133,133
2022B2PS0821P,P10N,17,17.5,17.5,16.5,17.5,17.5,17.5,17.5,17.5,5.5,139.5,139.5,43.5,183,183
2022B2PS1101P,P10N,17,17.5,16.5,17,17.5,17.5,17.5,17.5,0,17.5,139,139,27.5,166.5,167
2022B2PS1139P,P10N,0,17.5,14,15.5,17.5,0,17.5,17.5,17,17.5,134,134,37.5,171.5,172
2022B2PS1163P,P10N,17.5,0,15.5,15,17.5,17.5,0,17.5,17,17.5,135,135,26.5,161.5,162
2022B2PS1687P,P10N,16,17.5,16.5,17.5,17.5,17.5,17.5,17,0,17.5,138.5,138.5,17.5,156,156
2022B2PS1740P,P10N,0,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,16
2022B3PS0404P,P10N,17.5,17.5,16.5,13,17.5,17.5,17.5,17.5,17,17.5,139.5,139.5,33.5,173,173
2022B3PS0453P,P10N,17.5,17.5,16.5,16.5,17.5,17.5,17.5,17.5,5.5,0,138,138,43,181,181
2022B3PS0474P,P10N,17.5,17.5,17.5,15,17.5,17.5,17.5,0,17,17.5,139.5,139.5,40.5,180,180
2022B3PS0548P,P10N,17.5,17.5,13.5,0,17.5,17.5,0,15.5,17,17.5,133.5,133.5,16,149.5,150
2022B3PS0648P,P10N,17.5,17.5,16.5,15,17.5,17.5,17.5,17.5,5.5,17.5,139,139,38,177,177
2022B3TS1519P,P10N,17.5,17.5,16.5,15.5,17.5,17.5,17.5,17.5,16.5,17.5,139,139,27,166,166
2022B4PS1042P,P10N,17.5,17.5,17.5,17.5,17.5,17.5,17.5,0,17.5,5.5,140,140,40.5,180.5,181
2022B5PS0726P,P10N,17.5,0,16.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,140,140,43,183,183
2022B5PS0752P,P10N,17.5,17.5,16.5,17.5,17.5,17.5,17.5,0,17.5,17.5,140,140,29,169,169
2022B5PS1049P,P10N,17.5,17.5,16.5,17.5,17.5,17.5,17.5,16.5,17.5,17.5,140,140,27,167,167
2022B5PS1079P,P10N,17.5,5.5,17.5,16.5,17.5,16.5,15.5,0,5.5,0,112,112,17,129,129
