ERP_ID,ID,PS,"Evaluative 1(30)","Evaluative 2(25)","Evaluative 3(40)","Evaluative 4(40)","Eval 1(16.66)","Eval 2(16.5)","Eval 3(16.5)","Eval 4(16.5)","Best 3 total(50)",Midsemester(70),"PCT"
11120210752,2021B1PS0752P,P11N,29.5,14,19,27,16.5,9.5,8,11.5,38,44,82
11120212084,2021D2TS2084P,P11N,6,2,3,Absent,3.5,1.5,1.5,0,7,11,18
11120220851,2022A2PS0851P,P4N,24,20,20,29,13.5,13.5,8.5,12,39.5,44,83.5
11120220853,2022A2PS0853P,P7N,0,7,Absent,5,0,4.5,0,2,7,10,17
11120220928,2022A2PS0928P,P13N,27,20.5,34,29,15,13.5,14,12,43,44,87
11120220981,2022A2PS0981P,P4N,4,3.5,1,2,2,2.5,0.5,1,6,22,28
11120221012,2022A2PS1012P,P12N,12,8,10,14,6.5,5.5,4,6,18.5,31,49.5
11120221024,2022A2PS1024P,P11N,ABSENT,13,13,12,0,8.5,5.5,5,19.5,20,39.5
11120221029,2022A2PS1029P,P7N,24,6,30,36,13.5,4,12.5,15,41.5,35,76.5
11120221030,2022A2PS1030P,P1N,16,10,14,11,9,6.5,6,4.5,22,33,55
11120221039,2022A2PS1039P,P12N,12,15.5,5,14,6.5,10.5,2,6,23.5,10,33.5
11120221052,2022A2PS1052P,P5N,7.5,Absent,3,Absent,4,0,1.5,0,6,23,29
11120221055,2022A2PS1055P,P2N,13.5,11,19,25,7.5,7.5,8,10.5,26.5,39,65.5
11120221060,2022A2PS1060P,P1N,25,13,16,21,14,8.5,6.5,9,32,46,78
11120221067,2022A2PS1067P,P10N,18.5,16.5,30,17,10.5,11,12.5,7,34.5,42,76.5
11120221071,2022A2PS1071P,P13N,15.5,1,15,7,8.5,0.5,6.5,3,18.5,41,59.5
11120221076,2022A2PS1076P,P6N,23,7,7,3,13,4.5,3,1.5,21,28,49
11120221083,2022A2PS1083P,P12N,16,7,19,1,9,4.5,8,0.5,22,21,43
11120221085,2022A2PS1085P,P10N,18.5,5.5,23,15,10.5,3.5,9.5,6.5,27,45,72
11120221092,2022A2PS1092P,P11N,19.5,10,3,Absent,11,6.5,1.5,0,19.5,30,49.5
11120221094,2022A2PS1094P,P8N,24.5,14,1,25,13.5,9.5,0.5,10.5,34,37.5,71.5
