ID NO,"Ortho total (25)",Ortho comments,"Lines(25)",Lines comments,"Planes total(20)",Planes comments,"Total(70)"
2022A8PS1240P,17.5,missing hidden lines,0,Not Attempt,6,"Incomplete Part 1, Did not do Part 2 and3,Incorrect labelling, no dimensioning",23.5
2022A3PS0412P,13,Missing hidden,16,Many Mistakes,12,"Did not take circle into consideration, Wrong
linetype, Wrong labelling, No dimensioning,
Part 3 wrong",41
2022A4PS0831P,22.5,Missing hidden and center lines,21,Dimensions and labelings are missing,6,worng orien. incomplete 2nd stage,49.5
2022A7PS0012P,16,"Missing hidden lines, extra lines, not drawn
Acco grid points",4,"Wrong solution, procedure, and dimensions",2,1st part 1st stage drawn with wrong orien.,22
2022A1PS1572P,22,"Missing hidden lines, dimension of cirle  is
not correct",21,"Dimensions are missing and wrong unit
used",5,"wrong quad wrong orien. last stage
incomplete",48
2022AAPS0019P,10,"Randomly drawn drawing with missing
hidden lines, center lines and extra lines",0,No drawing available,3,"only 1st stage drawn with incorrect
orientation",13
2022A1PS1115P,12,"Misssing hidden, center lines, extra lines,
wrong scale",0,no drawing available,9,"incorrect orienatation in all
stages,incomplete drawing ,incorrect
labelling no dim",21
2022A7PS0135P,22,Missing hidden and center lines,24,XY are missing,0,-5 due to wrong quad.,46
2022A3PS0430P,17.5,missing hidden lines,24,Scaling of dimension is to done,3,"Wrong orientation, Incomplete Part 2, Did
not do Part 3, Wrong linetype, Did not take
circle into consideration",44.5
2022A7PS0131P,22,missing hidden lines,0,no drawing available,3,only stage 1 with wrong quadrant,25
2022A4PS0422P,19,missing hidden lines/ extra lines,23,"Some dimensions are missing, minor
variation in final ans",0,Did not attempt,42
2022A7PS0123P,22.5,Missing hidden lines,24,No labeling,15,"incomplete and incorrect stage 3 wrong line
type",61.5
2022A3PS1218P,23.5,Missing hidden line in FV,25,,12,only 1st two stages,60.5
2022A4PS0610P,,,,,,,0
2022A7PS1172P,19.5,"Missing hidden lines, center lines and extra
lines",0,No drawing available,2,"1st stage drawn part 1 with wrong
orientation",21.5
2022A1PS1351P,14,"wrong side view location,missing hidden
lines",0,Not attempted,0,Did not attend,14
2022A8PS1255P,14.5,Missing and extra hidden,24,Dimension of points not done,3,"Incomplete Part 1, Did not do Part 2 and 3,
No labelling, No dimensioning, Wrong
linetype",41.5
