ID NO,Pre-compre (120),Compre (80),Post-compre (200)
P1N,,,
2022A8PS1240P,89.7,23.5,113.2
2022A3PS0412P,88.8,30.5,119.3
2022A4PS0831P,91.4,41.5,132.9
2022A7PS0012P,87.9,46.0,133.9
2022A1PS1572P,97.4,53.5,150.9
2022AAPS0019P,74.4,40.0,114.4
2022A1PS1115P,70.4,46.0,116.4
2022A7PS0135P,92.9,34.0,126.9
2022A3PS0430P,91.2,58.0,149.2
2022A7PS0131P,60.6,35.0,95.6
2022A4PS0422P,79.2,31.0,110.2
2022A7PS0123P,110.7,66.0,176.7
2022A3PS1218P,110.5,32.0,142.5
2022A4PS0610P,45.4,0.0,45.4
2022A7PS1172P,64.0,16.0,80.0
2022A4PS0372P,84.7,74.0,158.7
2022A1PS1351P,59.0,27.0,86.0
2022A8PS1255P,90.4,57.0,147.4
2022A7PS0077P,2.0,0.0,2.0
2022A4PS1287P,80.8,27.0,107.8
2022A7PS0001P,97.5,53.0,150.5
2022A1PS1615P,65.5,28.0,93.5
2022A7PS0130P,54.9,25.0,79.9
2022A4PS0798P,81.3,49.0,130.3
2022A1PS0832P,62.4,37.5,99.9
2022A3PS0420P,71.4,56.5,127.9
2022A8PS1252P,87.7,53.0,140.7
2022A1PS1567P,59.6,40.0,99.6
2022A4PS1277P,103.2,64.0,167.2
2022A7PS0144P,102.8,59.0,161.8
2022A8PS0481P,66.9,28.0,94.9
2022A3PS0381P,57.6,18.0,75.6
2022A7PS0195P,53.3,19.0,72.3
2022A3PS0406P,63.8,31.0,94.8
2022A7PS0132P,112.0,0.0,112.0
2022A7PS0183P,65.7,28.5,94.2
2022A7PS0154P,92.7,44.0,136.7
2022A4PS0716P,67.8,22.0,89.8
2022A8PS0572P,70.1,26.0,96.1
2022AAPS0339P,97.5,46.0,143.5
2022A1PS1666P,101.0,66.0,167.0
2022A1PS1565P,102.4,55.0,157.4
2022A4PS0676P,83.6,55.0,138.6
2022AAPS0215P,102.8,39.0,141.8
2022A1PS0982P,59.2,32.0,91.2
2022A8PS0587P,106.2,41.0,147.2
2022A8PS0020P,51.7,40.0,91.7
2022A7PS0063P,3.0,0.0,3.0
2022A7PS0096P,103.4,65.5,168.9
2022A7PS0116P,25.1,23.0,48.1
2022A7PS0125P,85.1,55.5,140.6
2022AAPS0216P,89.7,67.0,156.7
2022AAPS0253P,109.5,77.0,186.5
2022AAPS0344P,88.5,47.0,135.5
2022A3PS0384P,81.3,71.0,152.3
2022A3PS0392P,104.4,45.0,149.4
2022A4PS0485P,51.0,43.5,94.5
2022A3PS0504P,76.9,53.0,129.9
2022A3PS0526P,91.3,40.0,131.3
2022A1PS0742P,94.6,24.0,118.6
2022A4PS0911P,86.1,42.5,128.6
2022A1PS0948P,73.1,54.0,127.1
2022A4PS0957P,39.4,46.0,85.4
2022A7PS1180P,105.7,50.0,155.7
2022A3PS1199P,62.8,24.0,86.8
2022A8PS1246P,68.2,21.0,89.2
2022A8PS1261P,86.6,19.0,105.6
2022A8PS1265P,54.9,35.0,89.9
2022A4PS1275P,96.6,52.0,148.6
2022A4PS1283P,77.8,40.0,117.8
2022A4PS1295P,83.8,49.5,133.3
2022A1PS1307P,91.2,39.0,130.2
2022A1PS1322P,84.4,34.0,118.4
2022A1PS1327P,60.1,34.5,94.6
2022A1PS1339P,59.8,29.0,88.8
2022A1PS1356P,67.4,43.0,110.4
2020B5A22011,13.0,5.0,18.0
P3N,,,
2022A7PS0006P,91.6,49.0,140.6
2022A7PS0011P,66.3,38.0,104.3
2022A7PS0014P,91.9,56.0,147.9
2022A7PS0016P,101.9,78.0,179.9
2022AAPS0021P,83.5,30.0,113.5
2022AAPS0025P,83.0,68.5,151.5
2022A7PS0035P,77.7,61.0,138.7
2022A7PS0055P,113.9,79.0,192.9
2022A7PS0086P,70.8,43.5,114.3
2022A7PS0114P,69.4,42.0,111.4
2022A7PS0150P,88.2,60.0,148.2
2022A7PS0152P,73.8,38.0,111.8
2022A7PS0157P,77.4,33.0,110.4
2022A7PS0169P,73.8,56.5,130.3
2022AAPS0214P,102.7,62.0,164.7
2022AAPS0219P,80.0,42.5,122.5
2022AAPS0258P,95.2,43.0,138.2
2022AAPS0300P,85.2,25.0,110.2
2022A4PS0355P,60.8,73.0,133.8
2022A3PS0378P,57.1,12.0,69.1
2022A3PS0402P,80.7,17.0,97.7
2022A3PS0419P,114.0,65.0,179.0
2022A3PS0451P,103.7,44.0,147.7
2022A3PS0478P,101.5,62.0,163.5
2022A3PS0483P,83.0,50.0,133.0
2022A3PS0493P,110.5,59.0,169.5
2022A8PS0539P,85.1,39.0,124.1
2022A8PS0561P,110.5,58.0,168.5
2022A4PS0599P,69.1,44.0,113.1
2022A8PS0622P,71.0,32.0,103.0
2022A4PS0649P,101.0,64.0,165.0
2022A4PS0651P,83.2,61.0,144.2
2022A4PS0669P,92.7,47.0,139.7
2022A4PS0689P,98.7,38.0,136.7
2022A4PS0697P,105.3,70.5,175.8
2022A1PS0824P,91.4,16.0,107.4
2022A4PS0915P,71.2,29.0,100.2
2022A4PS0919P,99.5,58.0,157.5
2022A4PS0942P,73.6,15.0,88.6
2022A1PS1149P,101.4,59.0,160.4
2022A3PS1200P,104.4,67.0,171.4
2022A3PS1203P,100.7,58.0,158.7
2022A8PS1267P,76.3,73.0,149.3
2022A1PS1340P,95.9,40.0,135.9
2022A1PS1343P,71.3,33.0,104.3
2022A1PS1597P,68.1,30.0,98.1
P4N,,,
2022A7PS0004P,91.7,65.0,156.7
2022A7PS0007P,68.6,14.0,82.6
2022A7PS0013P,94.2,53.0,147.2
2022A7PS0049P,94.5,62.0,156.5
2022A7PS0068P,60.6,54.0,114.6
2022A7PS0073P,36.2,16.0,52.2
2022A7PS0074P,90.3,58.0,148.3
2022A7PS0092P,0.0,0.0,0.0
2022A7PS0093P,102.2,75.5,177.7
2022A7PS0103P,88.2,63.0,151.2
2022A7PS0160P,117.9,75.0,192.9
2022A7PS0166P,93.7,55.0,148.7
2022A7PS0177P,97.1,29.0,126.1
2022A7PS0180P,101.9,62.0,163.9
2022AAPS0217P,87.2,39.0,126.2
2022AAPS0257P,58.5,31.0,89.5
2022A3PS0282P,53.8,25.0,78.8
2022AAPS0292P,88.4,48.5,136.9
2022AAPS0314P,93.6,54.0,147.6
2022AAPS0347P,88.0,56.5,144.5
2022AAPS0363P,92.6,79.0,171.6
2022A3PS0387P,86.7,40.0,126.7
2022A3PS0427P,74.1,31.0,105.1
2022A3PS0447P,58.3,33.0,91.3
2022A3PS0448P,87.0,61.0,148.0
2022A3PS0465P,87.1,32.0,119.1
2022A3PS0467P,47.5,20.0,67.5
2022A3PS0508P,75.8,42.0,117.8
2022A8PS0564P,99.1,35.0,134.1
2022A4PS0808P,76.4,46.0,122.4
2022A1PS0820P,80.8,43.0,123.8
2022A4PS0975P,61.4,17.0,78.4
2022AAPS1191P,74.2,36.0,110.2
2022A3PS1208P,62.7,42.0,104.7
2022A8PS1210P,59.6,50.0,109.6
2022A3PS1212P,72.3,59.5,131.8
2022A3PS1215P,82.8,60.5,143.3
2022A3PS1220P,103.2,65.0,168.2
2022A8PS1243P,69.7,61.0,130.7
2022A8PS1260P,113.2,58.5,171.7
2022A8PS1270P,89.3,31.0,120.3
2022A4PS1274P,75.4,49.0,124.4
2022A4PS1296P,94.5,49.5,144.0
2022A1PS1595P,100.2,45.0,145.2
2022A1PS1695P,86.0,25.0,111.0
2022AAPS0230P,5.5,4.0,9.5
P5N,,,
2022A7PS0010P,109.1,73.0,182.1
2022A7PS0033P,65.3,44.0,109.3
2022A7PS0038P,73.6,28.0,101.6
2022A7PS0056P,108.9,72.0,180.9
2022A7PS0065P,83.7,72.0,155.7
2022A7PS0080P,115.2,71.0,186.2
2022A7PS0084P,89.0,77.0,166.0
2022A7PS0133P,102.4,63.0,165.4
2022A7PS0142P,96.4,46.0,142.4
2022A7PS0148P,72.3,43.0,115.3
2022A7PS0156P,57.6,43.0,100.6
2022A7PS0178P,113.2,69.0,182.2
2022AAPS0231P,76.6,64.0,140.6
2022AAPS0234P,95.5,40.0,135.5
2022AAPS0256P,99.2,65.0,164.2
2022AAPS0264P,89.7,54.5,144.2
2022A3PS0327P,85.6,26.0,111.6
2022A3PS0394P,76.7,37.5,114.2
2022A3PS0418P,108.2,56.0,164.2
2022A3PS0441P,69.8,53.0,122.8
2022A3PS0445P,69.2,34.0,103.2
2022A3PS0498P,99.6,58.0,157.6
2022A3PS0500P,69.1,23.0,92.1
2022A4PS0502P,64.3,72.5,136.8
2022A3PS0503P,39.0,19.0,58.0
2022A3PS0507P,41.7,33.0,74.7
2022A4PS0545P,62.4,20.0,82.4
2022A8PS0583P,96.9,45.0,141.9
2022A1PS0589P,81.0,77.0,158.0
2022A8PS0591P,85.7,54.0,139.7
2022A4PS0626P,60.9,41.5,102.4
2022A4PS0792P,94.9,36.0,130.9
2022A1PS0946P,50.8,28.0,78.8
