ID,T1,T2,Mid,Tot (130)
0148P,7,8,8,23
0160P,6,13,57,76
0449P,3.5,9,15,27.5
0232P,0,0,67,67
0363P,15,2,42,59
0973P,15,15,18,48
0257P,1,14,31,46
0820P,8,15,19,42
0068P,7,12,8,27
0195P,0,13,84,97
0241P,15,15,76,106
1597P,0,0,33,33
0457P,0,14,28,42
1733P,2,15,0,17
1001P,2,10,22,34
0134P,,5,57,62
0321P,12,11,45,68
1227P,1,15,24,40
0248P,7,15,62,84
1241P,0,15,62,77
1215P,15,5,51,71
0640P,6,13,19,38
1351P,0,6,4,10
0125P,15,7,23,45
1260P,7,15,33,55
0187P,12,15,67,94
0716P,3,9,5,17
1279P,3,5,17,25
0143P,0,5,2,7
0185P,0,0,9,9
0942P,8,15,3,26
0211P,0,0,5,5
0982P,0,11,0,11
0911P,10,1,13,24
0558P,4,0,54,58
0107P,0,15,2,17
0147P,10.5,15,67,92.5
0252P,4,0,11,15
0216P,5,12,0,17
1216P,7,14.5,55,76.5
1560P,10,0,61,71
0144P,15,15,53,83
0896P,0,13,7,20
0207P,7,15,72,94
1330P,0,0,5,5
0240P,0,15,66,81
0177P,10,13,75,98
1239P,0,15,26,41
0180P,3,15,33,51
0831P,12.5,9.5,43,65
0578P,8,9,26,43
1236P,11,13,48,72
0264P,7,14,28,49
0675P,1,8,31,40
0253P,14,15,91,120
0475P,3,9,47,59
1275P,9,15,27,51
0526P,0,10,11,21
1196P,13,15,34,62
1224P,3,15,35,53
0938P,0,15,23,38
0369P,13,15,44,72
1171P,1,6,70,77
0113P,13,15,90,118
0025P,15,15,29,59
1187P,0,3,56,59
0226P,5,15,58,78
0458P,13,15,46,74
0135P,0.5,0,14,14.5
0427P,0,15,9,24
0708P,0,8,13,21
0795P,0,2,11,13
0572P,4.5,2,25,31.5
0962P,1,0,22,23
0357P,15,15,11,41
1250P,0,0,5,5
0058P,0,0,0,0
0484P,6,2,52,60
0926P,10,13,30,53
1170P,13,11,52,76
1180P,2,15,27,44
0975P,1,6,18,25
0124P,15,15,92,122
1210P,2,0,43,45
0042P,15,13,5,33
0066P,0,0,0,0
0481P,0,11,0,11
1322P,11,0,32,43
1200P,10,10,49,69
0661P,0,0,7,7
1291P,5,15,31,51
0105P,5,7,4,16
0170P,5,,47,52
1353P,0,1,8,9
0001P,12,1,37,50
0054P,0,0,9,9
0020P,1,3,10,14
1316P,0,2,19,21
0921P,1,15,13,29
1234P,11,15,34,60
0774P,10,15,29,54
1328P,12,11,34,57
0047P,5,15,58,78
1734P,3,14,31,48
0009P,14,15,86,115
1245P,5,10,15,30
0673P,7,15,41,63
0748P,0,15,34,49
1306P,6,15,48,69
0190P,0,10,9,19
1256P,5,15,25,45
0189P,0,0,2,2
1069P,1.5,6,4,11.5
0111P,9,11,61,81
1301P,3,8,48,59
0784P,2,2,6,10
1162P,9,2,5,16
0026P,8,0,8,16
1565P,0,2,23,25
0052P,4,15,76,95
0171P,4,12,44,60
0292P,8.5,15,48,71.5
0384P,13,13,48,74
1462P,1,7,2,10
1596P,12,14,22,48
0538P,0,13,36,49
1667P,2,7,8,17
0355P,15,10.5,24,49.5
0703P,6.5,2,36,44.5
0567P,15,15,42,72
1281P,4,6,41,51
0093P,15,8,58,81
0023P,0,3,8,11
1263P,6,1,72,79
0738P,9,11,43,63
0806P,6,14.5,31,51.5
