ID,Mid,T1,T2,T3,T4,T5,Best 4,Tut(80),PCT,Comp(45),Comp(75),Comp,CT(300)
0437P,13,0,9,4,0,0,13,18,31,6,0,6,37
0249P,35,1,11,15,0,3,30,40,75,15,16,31,106
0694P,37,15,15,15,15,11,60,80,117,11,5,16,133
0424P,13,13,11,15,11,15,54,72,85,2,1,3,88
0218P,23,5,15,6,6,0,32,43,66,14,7,21,87
0073P,9,0,2,0,0,0,2,3,12,8,13,21,33
1244P,50,15,13,15,15,5,58,78,128,12,7,19,147
0358P,32,0,15,2,0,15,32,43,75,27,16,43,118
0116P,75,0,0,0,5,0,5,7,82,15,5,20,102
1187P,56,15,3,8,12,14,49,66,122,9,17,26,148
0015P,12,5,8,10,10,4,33,44,56,8,7,15,71
0387P,49,12,15,8,15,3,50,67,116,6,3,9,125
0941P,35,14,8,6,15,11,48,64,99,6,11,17,116
0478P,42,3,6,15,15,9,45,60,102,21,2,23,125
0038P,52,13,13,15,9,13,54,72,124,7,12,19,143
0611P,60,10,15,14,15,11,55,74,134,30,24,54,188
0253P,91,14,15,7,15,12,56,75,166,33,25,58,224
0843P,40,15,15,15,0,15,60,80,120,6,11,17,137
0248P,62,7,15,14,15,10,54,72,134,35,37,72,206
0992P,46,4,9,8,3,0,24,32,78,17,4,21,99
0066P,0,0,0,3,5,0,8,11,11,3,1,4,15
0230P,0,0,0,0,0,0,0,0,0,0,0,0,0
0138P,56,11,15,15,15,15,60,80,136,28,13,41,177
0447P,42,14.5,14.5,0,1,0,30,40,82,19,14,33,115
1465P,2,0,0,0,0,0,0,0,2,0,0,0,2
0057P,32,15,15,15,0,15,60,80,112,5,2,7,119
0052P,76,4,15,5,6,0,30,40,116,37,19,56,172
1255P,18,3,15,11,13,15,54,72,90,18,0,18,108
1291P,31,5,15,11,5,6,37,50,81,11,6,17,98
0620P,36,2,15,15,4,15,49,66,102,26,10,36,138
0381P,3,0,0,2,1,0,3,4,7,0,0,0,7
0113P,90,13,15,12,15,15,58,78,168,30,36,66,234
0590P,40,6,8,12,2,15,41,55,95,14,2,16,111
0094P,72,10,3,12,11,9,42,56,128,26,14,40,168
0347P,15,0,0,0,10,6,16,22,37,2,0,2,39
0675P,31,1,8,7,4,12,31,42,73,10,13,23,96
0808P,12,8,8,0,15,15,46,62,74,13,2,15,89
1215P,51,15,5,15,9,1,44,59,110,20,8,28,138
0926P,30,10,13,15,12,15,55,74,104,20,19,39,143
1174P,49,15,8,8,13,15,51,68,117,29,12,41,158
1179P,0,0,3,0,0,1,4,6,6,15,2,17,23
0397P,56,15,15,0,15,12,57,76,132,19,17,36,168
1249P,18,1,15,9,6,15,45,60,78,13,4,17,95
0948P,33,7,0,1,1,0,9,12,45,9,3,12,57
0123P,18,14,10,9,13,15,52,70,88,3,0,3,91
0023P,8,0,3,3,0,0,6,8,16,6,16,22,38
1296P,28,0,13,13,0,2,28,38,66,9,7,16,82
1281P,41,4,6,0,0,8,18,24,65,15,5,20,85
1265P,40,0.5,0,3,2,7,12.5,17,57,16,12,28,85
0311P,56,15,10,15,5,15,55,74,130,20,11,31,161
1279P,17,3,5,14,6,1,28,38,55,6,6,12,67
0001P,37,12,1,4,12,13,41,55,92,17,8,25,117
0984P,13,1,11,7,5,0,24,32,45,0,0,0,45
0429P,43,12,13,15,3,9,49,66,109,18,23,41,150
0546P,5,0,5,2,1,7,15,20,25,15,4,19,44
0008P,34,15,15,8,15,15,60,80,114,13,14,27,141
0170P,47,5,0,14,0,7,26,35,82,22,11,33,115
0490P,30,2,15,15,4,12,46,62,92,25,10,35,127
1289P,35,3,7,10,9,12,38,51,86,10,8,18,104
0895P,9,3,10,2,1,0,16,22,31,1,0,1,32
1205P,32,0,13,15,15,14,57,76,108,17,4,21,129
1325P,14,0,0,0,0,0,0,0,14,9,3,12,26
0471P,61,15,15,10,15,8,55,74,135,17,17,34,169
0177P,75,10,13,12,13,10,48,64,139,21,10,31,170
0595P,43,14,14,5,6,2,39,52,95,14,5,19,114
0617P,30,1,14,2,2,8,26,35,65,3,5,8,73
0025P,29,15,15,11,15,14,59,79,108,20,25,45,153
0160P,57,6,13,7,4,0,30,40,97,32,51,83,180
0945P,31,0,0,0,0,0,0,0,31,0,0,0,31
1307P,23,2,0,10,15,15,42,56,79,3,4,7,86
0087P,80,8,15,3,15,4,42,56,136,29,21,50,186
0136P,2,0,5,6,4,9,24,32,34,5,3,8,42
0419P,28,15,15,15,4,12,57,76,104,30,7,37,141
1243P,30,10,0,15,2,11,38,51,81,6,5,11,92
0742P,14,7,13,15,3,15,50,67,81,7,2,9,90
1596P,22,12,14,9,13,7,48,64,86,12,3,15,101
0591P,18,0,7,4,1,11,23,31,49,3,9,12,61
0479P,42,9,15,8,1,15,47,63,105,8,0,8,113
0232P,67,0,0,2,15,15,32,43,110,31,28,59,169
0375P,20,0,15,8,8,0,31,42,62,2,12,14,76
0915P,9,1,0,2,0,0,3,4,13,8,16,24,37
0195P,84,0,13,6,0,15,34,46,130,9,9,18,148
1173P,38,6,4,9,6,12,33,44,82,26,10,36,118
1340P,25,15,15,15,15,15,60,80,105,14,3,17,122
0467P,11,2,0,6,2,1,11,15,26,2,3,5,31
