+---------------+--------------+--------------------+-----------+
| ID            | Rank (578)   | Percentile         | Av Plus   |
|---------------+--------------+--------------------+-----------|
| 2022A7PS0001P | 296          | 49.13494809688581  | +2.52     |
| 2022A7PS0003P | 47           | 92.04152249134947  | +62.52    |
| 2022A7PS0004P | 199          | 65.7439446366782   | +19.52    |
| 2022A7PS0005P | 282          | 51.55709342560553  | +4.52     |
| 2022A7PS0006P | 233          | 60.034602076124564 | +13.02    |
| 2022A7PS0007P | 397          | 31.833910034602074 | -17.48    |
| 2022A7PS0008P | 160          | 72.66435986159169  | +28.02    |
| 2022A7PS0009P | 148          | 74.74048442906573  | +30.52    |
| 2022A7PS0010P | 169          | 71.28027681660899  | +26.52    |
| 2022A7PS0011P | 369          | 36.50519031141868  | -12.98    |
| 2022A7PS0012P | 107          | 81.66089965397923  | +43.02    |
| 2022A7PS0013P | 279          | 52.07612456747405  | +5.02     |
| 2022A7PS0014P | 304          | 47.923875432525946 | +1.52     |
| 2022A4PS0015P | 327          | 43.59861591695501  | -2.98     |
| 2022A7PS0016P | 117          | 80.27681660899654  | +39.52    |
| 2022A7PS0017P | 256          | 56.055363321799305 | +8.52     |
| 2022AAPS0019P | 494          | 14.705882352941176 | -50.98    |
| 2022A8PS0020P | 564          | 2.5951557093425603 | -93.98    |
| 2022AAPS0021P | 474          | 18.166089965397923 | -42.98    |
| 2022A3PS0022P | 490          | 15.397923875432525 | -49.48    |
| 2022A3PS0023P | 497          | 14.186851211072664 | -52.48    |
| 2022AAPS0025P | 74           | 87.37024221453287  | +52.02    |
| 2022A4PS0026P | 536          | 7.439446366782006  | -74.48    |
| 2022A3PS0027P | 559          | 3.460207612456747  | -88.98    |
| 2022AAPS0028P | 513          | 11.418685121107266 | -59.48    |
| 2022A7PS0031P | 544          | 6.228373702422145  | -80.98    |
| 2022A7PS0033P | 479          | 17.47404844290657  | -44.98    |
| 2022A3PS0034P | 304          | 47.923875432525946 | +1.52     |
| 2022A7PS0035P | 389          | 32.8719723183391   | -15.98    |
| 2022A7PS0036P | 53           | 91.00346020761245  | +60.52    |
| 2022A7PS0037P | 462          | 20.415224913494807 | -39.48    |
| 2022A7PS0038P | 144          | 75.43252595155708  | +32.02    |
| 2022A7PS0041P | 532          | 8.304498269896193  | -71.98    |
| 2022A7PS0042P | 467          | 19.55017301038062  | -40.98    |
| 2022A7PS0044P | 555          | 4.1522491349480966 | -87.98    |
| 2022A7PS0045P | 1            | 99.99999999999999  | +118.02   |
| 2022A7PS0047P | 251          | 56.92041522491349  | +9.52     |
| 2022A7PS0051P | 566          | 2.2491349480968856 | -95.48    |
| 2022A7PS0052P | 179          | 69.37716262975778  | +24.02    |
| 2022A7PS0053P | 516          | 10.899653979238753 | -61.98    |
| 2022A7PS0054P | 527          | 8.996539792387543  | -69.48    |
| 2022A7PS0055P | 40           | 93.77162629757785  | +64.52    |
| 2022A7PS0056P | 27           | 95.50173010380622  | +72.52    |
| 2022A7PS0057P | 397          | 31.833910034602074 | -17.48    |
| 2022A7PS0058P | 545          | 5.88235294117647   | -81.48    |
| 2022A7PS0063P | 576          | 0.6920415224913494 | -116.48   |
| 2022A7PS0065P | 366          | 37.0242214532872   | -12.48    |
| 2022A7PS0066P | 517          | 10.726643598615915 | -62.48    |
| 2022A7PS0067P | 529          | 8.650519031141869  | -70.48    |
| 2022A7PS0068P | 482          | 16.782006920415224 | -45.98    |
| 2022A7PS0069P | 514          | 11.245674740484429 | -60.48    |
| 2022A7PS0070P | 28           | 95.32871972318338  | +72.02    |
| 2022A7PS0073P | 481          | 16.955017301038062 | -45.48    |
| 2022A7PS0074P | 30           | 95.15570934256054  | +69.52    |
| 2022A7PS0075P | 408          | 29.757785467128024 | -21.98    |
| 2022A7PS0076P | 568          | 1.903114186851211  | -99.48    |
| 2022A7PS0077P | 574          | 0.8650519031141868 | -114.98   |
| 2022A7PS0078P | 125          | 78.719723183391    | +38.52    |
| 2022A7PS0079P | 488          | 15.743944636678199 | -47.98    |
| 2022A7PS0080P | 30           | 95.15570934256054  | +69.52    |
| 2022A7PS0081P | 128          | 78.20069204152249  | +38.02    |
| 2022A7PS0082P | 66           | 88.9273356401384   | +54.52    |
| 2022A7PS0083P | 49           | 91.86851211072664  | +62.02    |
| 2022A7PS0084P | 3            | 99.65397923875432  | +111.02   |
| 2022A7PS0085P | 300          | 48.442906574394456 | +2.02     |
| 2022A7PS0086P | 138          | 76.47058823529412  | +34.02    |
| 2022A7PS0087P | 32           | 94.80968858131487  | +67.52    |
| 2022A7PS0088P | 176          | 69.72318339100346  | +24.52    |
| 2022A7PS0089P | 86           | 85.29411764705881  | +48.02    |
| 2022A7PS0091P | 78           | 86.67820069204151  | +50.52    |
| 2022A7PS0092P | 578          | 0.3460207612456747 | -117.48   |
| 2022A7PS0093P | 62           | 89.44636678200692  | +56.52    |
| 2022A7PS0094P | 106          | 81.83391003460207  | +43.52    |
| 2022A7PS0096P | 22           | 96.3667820069204   | +74.52    |
| 2022A7PS0097P | 55           | 90.83044982698961  | +59.02    |
| 2022A7PS0098P | 244          | 58.304498269896186 | +11.52    |
| 2022A7PS0100P | 169          | 71.28027681660899  | +26.52    |
| 2022A7PS0102P | 313          | 46.193771626297575 | +0.02     |
| 2022A7PS0105P | 464          | 19.896193771626297 | -39.98    |
| 2022A7PS0106P | 540          | 7.093425605536332  | -75.48    |
| 2022A7PS0107P | 499          | 13.840830449826989 | -53.98    |
| 2022A7PS0109P | 552          | 4.671280276816608  | -86.98    |
| 2022A7PS0110P | 212          | 63.49480968858131  | +16.52    |
| 2022A7PS0111P | 25           | 95.84775086505189  | +73.52    |
| 2022A7PS0113P | 13           | 97.92387543252595  | +83.02    |
| 2022A7PS0114P | 518          | 10.55363321799308  | -62.98    |
| 2022A7PS0115P | 230          | 60.38062283737024  | +13.52    |
| 2022A7PS0116P | 274          | 53.28719723183391  | +5.52     |
| 2022A7PS0118P | 2            | 99.82698961937716  | +115.52   |
| 2022A7PS0119P | 55           | 90.83044982698961  | +59.02    |
| 2022A7PS0120P | 443          | 23.52941176470588  | -32.48    |
| 2022A7PS0121P | 526          | 9.16955017301038   | -68.98    |
| 2022A7PS0123P | 103          | 82.52595155709342  | +44.52    |
| 2022A7PS0124P | 32           | 94.80968858131487  | +67.52    |
| 2022A7PS0125P | 282          | 51.55709342560553  | +4.52     |
| 2022A7PS0126P | 138          | 76.47058823529412  | +34.02    |
| 2022A7PS0128P | 266          | 54.6712802768166   | +6.52     |
| 2022A7PS0130P | 557          | 3.979238754325259  | -88.48    |
| 2022A7PS0131P | 562          | 2.941176470588235  | -93.48    |
| 2022A7PS0132P | 22           | 96.3667820069204   | +74.52    |
| 2022A7PS0133P | 10           | 98.44290657439446  | +88.52    |
| 2022A7PS0134P | 254          | 56.40138408304498  | +9.02     |
| 2022A7PS0135P | 540          | 7.093425605536332  | -75.48    |
| 2022A7PS0136P | 448          | 22.837370242214533 | -33.48    |
| 2022A7PS0137P | 142          | 75.77854671280276  | +33.02    |
| 2022A7PS0138P | 103          | 82.52595155709342  | +44.52    |
| 2022A7PS0140P | 191          | 67.30103806228374  | +22.02    |
| 2022A7PS0141P | 136          | 76.81660899653978  | +36.52    |
| 2022A7PS0142P | 279          | 52.07612456747405  | +5.02     |
| 2022A7PS0143P | 479          | 17.47404844290657  | -44.98    |
| 2022A7PS0144P | 16           | 97.40484429065744  | +79.02    |
| 2022A7PS0145P | 7            | 98.96193771626297  | +92.02    |
| 2022A7PS0146P | 330          | 43.252595155709336 | -3.98     |
| 2022A7PS0147P | 52           | 91.34948096885813  | +61.02    |
| 2022A7PS0148P | 515          | 11.07266435986159  | -60.98    |
| 2022A7PS0150P | 40           | 93.77162629757785  | +64.52    |
| 2022A7PS0152P | 44           | 92.56055363321799  | +63.52    |
| 2022A7PS0153P | 173          | 70.41522491349481  | +25.52    |
| 2022A7PS0154P | 386          | 33.910034602076124 | -15.48    |
| 2022A7PS0156P | 82           | 85.98615916955016  | +49.52    |
| 2022A7PS0157P | 502          | 13.494809688581313 | -54.98    |
| 2022A7PS0158P | 49           | 91.86851211072664  | +62.02    |
| 2022A7PS0159P | 266          | 54.6712802768166   | +6.52     |
| 2022A7PS0160P | 20           | 96.71280276816609  | +75.02    |
| 2022A7PS0164P | 9            | 98.6159169550173   | +89.02    |
| 2022A7PS0165P | 49           | 91.86851211072664  | +62.02    |
| 2022A7PS0166P | 210          | 63.84083044982698  | +17.02    |
| 2022A7PS0168P | 44           | 92.56055363321799  | +63.52    |
| 2022A7PS0169P | 11           | 98.26989619377161  | +86.02    |
| 2022A7PS0170P | 194          | 66.60899653979239  | +20.52    |
| 2022A7PS0171P | 244          | 58.304498269896186 | +11.52    |
| 2022A7PS0172P | 133          | 77.3356401384083   | +37.02    |
| 2022A7PS0173P | 105          | 82.00692041522491  | +44.02    |
| 2022A7PS0174P | 14           | 97.7508650519031   | +82.52    |
| 2022A7PS0175P | 125          | 78.719723183391    | +38.52    |
| 2022A7PS0177P | 84           | 85.6401384083045   | +48.52    |
| 2022A7PS0178P | 4            | 99.48096885813148  | +109.02   |
| 2022A7PS0180P | 20           | 96.71280276816609  | +75.02    |
| 2022A7PS0182P | 493          | 14.878892733564012 | -50.48    |
| 2022A7PS0183P | 309          | 46.88581314878893  | +1.02     |
| 2022A7PS0184P | 138          | 76.47058823529412  | +34.02    |
| 2022A7PS0185P | 552          | 4.671280276816608  | -86.98    |
| 2022A7PS0187P | 19           | 96.88581314878891  | +76.02    |
| 2022A7PS0189P | 530          | 8.477508650519031  | -70.98    |
| 2022A7PS0190P | 506          | 12.802768166089965 | -56.48    |
| 2022AAPS0194P | 522          | 9.86159169550173   | -66.98    |
| 2022A7PS0195P | 112          | 80.96885813148788  | +40.52    |
| 2022AAPS0198P | 15           | 97.57785467128026  | +81.02    |
| 2022AAPS0203P | 80           | 86.50519031141867  | +50.02    |
| 2022AAPS0204P | 117          | 80.27681660899654  | +39.52    |
| 2022AAPS0207P | 34           | 94.46366782006919  | +66.02    |
| 2022A3PS0209P | 309          | 46.88581314878893  | +1.02     |
| 2022AAPS0210P | 76           | 87.0242214532872   | +51.52    |
| 2022AAPS0211P | 421          | 27.50865051903114  | -25.48    |
| 2022AAPS0214P | 128          | 78.20069204152249  | +38.02    |
| 2022AAPS0215P | 196          | 66.43598615916954  | +20.02    |
| 2022AAPS0216P | 165          | 71.7993079584775   | +27.02    |
| 2022AAPS0217P | 286          | 50.865051903114185 | +4.02     |
| 2022AAPS0218P | 369          | 36.50519031141868  | -12.98    |
| 2022A3PS0221P | 372          | 35.98615916955017  | -13.48    |
| 2022AAPS0222P | 61           | 89.61937716262975  | +57.02    |
| 2022A4PS0223P | 576          | 0.6920415224913494 | -116.48   |
| 2022AAPS0226P | 188          | 67.6470588235294   | +22.52    |
| 2022AAPS0230P | 570          | 1.5570934256055362 | -103.48   |
| 2022AAPS0231P | 58           | 90.3114186851211   | +58.02    |
| 2022AAPS0232P | 64           | 89.10034602076124  | +55.02    |
| 2022AAPS0234P | 228          | 61.072664359861584 | +14.02    |
| 2022AAPS0235P | 386          | 33.910034602076124 | -15.48    |
| 2022AAPS0240P | 70           | 88.23529411764706  | +53.52    |
| 2022AAPS0241P | 84           | 85.6401384083045   | +48.52    |
| 2022AAPS0243P | 150          | 74.22145328719722  | +30.02    |
| 2022AAPS0244P | 318          | 45.15570934256055  | -1.48     |
| 2022AAPS0247P | 95           | 84.08304498269895  | +46.02    |
| 2022AAPS0248P | 6            | 99.13494809688581  | +98.02    |
| 2022AAPS0249P | 386          | 33.910034602076124 | -15.48    |
| 2022AAPS0250P | 546          | 5.709342560553633  | -81.98    |
| 2022AAPS0251P | 356          | 38.581314878892734 | -10.48    |
| 2022AAPS0252P | 524          | 9.515570934256054  | -67.48    |
| 2022AAPS0253P | 18           | 97.2318339100346   | +78.52    |
| 2022A4PS0254P | 470          | 18.85813148788927  | -41.98    |
| 2022AAPS0255P | 522          | 9.86159169550173   | -66.98    |
| 2022AAPS0256P | 196          | 66.43598615916954  | +20.02    |
| 2022AAPS0257P | 421          | 27.50865051903114  | -25.48    |
| 2022AAPS0258P | 153          | 73.87543252595155  | +29.52    |
| 2022AAPS0264P | 95           | 84.08304498269895  | +46.02    |
| 2022A3PS0265P | 188          | 67.6470588235294   | +22.52    |
| 2022AAPS0266P | 95           | 84.08304498269895  | +46.02    |
| 2022AAPS0268P | 24           | 96.02076124567473  | +74.02    |
| 2022A3PS0282P | 322          | 44.80968858131487  | -1.98     |
| 2022AAPS0292P | 70           | 88.23529411764706  | +53.52    |
| 2022AAPS0300P | 424          | 26.989619377162626 | -25.98    |
| 2022AAPS0305P | 217          | 63.14878892733564  | +16.02    |
| 2022AAPS0311P | 55           | 90.83044982698961  | +59.02    |
| 2022AAPS0313P | 142          | 75.77854671280276  | +33.02    |
| 2022AAPS0314P | 157          | 73.1833910034602   | +28.52    |
| 2022AAPS0318P | 266          | 54.6712802768166   | +6.52     |
| 2022AAPS0321P | 246          | 57.61245674740484  | +11.02    |
| 2022AAPS0322P | 511          | 11.76470588235294  | -58.48    |
| 2022AAPS0323P | 34           | 94.46366782006919  | +66.02    |
| 2022AAPS0326P | 413          | 28.892733564013838 | -23.48    |
| 2022A3PS0327P | 200          | 65.57093425605535  | +19.02    |
| 2022A3PS0329P | 95           | 84.08304498269895  | +46.02    |
| 2022AAPS0331P | 457          | 21.10726643598616  | -37.98    |
| 2022AAPS0339P | 467          | 19.55017301038062  | -40.98    |
| 2022AAPS0344P | 397          | 31.833910034602074 | -17.48    |
| 2022AAPS0347P | 344          | 41.003460207612456 | -6.98     |
| 2022A4PS0355P | 286          | 50.865051903114185 | +4.02     |
| 2022A3PS0357P | 456          | 21.45328719723183  | -36.98    |
| 2022AAPS0358P | 296          | 49.13494809688581  | +2.52     |
| 2022AAPS0363P | 236          | 59.51557093425605  | +12.52    |
| 2022A3PS0364P | 95           | 84.08304498269895  | +46.02    |
| 2022AAPS0366P | 183          | 68.85813148788927  | +23.52    |
| 2022AAPS0369P | 300          | 48.442906574394456 | +2.02     |
| 2022A4PS0372P | 89           | 84.94809688581314  | +47.52    |
| 2022A3PS0375P | 386          | 33.910034602076124 | -15.48    |
| 2022A3PS0376P | 136          | 76.81660899653978  | +36.52    |
| 2022A3PS0377P | 361          | 37.88927335640138  | -11.48    |
| 2022A3PS0378P | 258          | 55.53633217993079  | +8.02     |
| 2022A3PS0380P | 366          | 37.0242214532872   | -12.48    |
| 2022A3PS0381P | 544          | 6.228373702422145  | -80.98    |
| 2022A3PS0384P | 162          | 72.31833910034601  | +27.52    |
| 2022A3PS0387P | 344          | 41.003460207612456 | -6.98     |
| 2022A3PS0389P | 110          | 81.14186851211072  | +41.02    |
| 2022A3PS0392P | 58           | 90.3114186851211   | +58.02    |
| 2022A3PS0394P | 350          | 39.61937716262975  | -8.98     |
| 2022A8PS0397P | 322          | 44.80968858131487  | -1.98     |
| 2022A3PS0399P | 251          | 56.92041522491349  | +9.52     |
| 2022A3PS0402P | 393          | 32.35294117647059  | -16.98    |
| 2022A4PS0403P | 557          | 3.979238754325259  | -88.48    |
| 2022A3PS0405P | 133          | 77.3356401384083   | +37.02    |
| 2022A3PS0406P | 179          | 69.37716262975778  | +24.02    |
| 2022A8PS0408P | 193          | 66.78200692041521  | +21.52    |
| 2022A3PS0410P | 393          | 32.35294117647059  | -16.98    |
| 2022A3PS0412P | 173          | 70.41522491349481  | +25.52    |
| 2022A3PS0418P | 89           | 84.94809688581314  | +47.52    |
| 2022A3PS0419P | 72           | 87.88927335640138  | +53.02    |
| 2022A3PS0420P | 380          | 34.94809688581314  | -14.98    |
| 2022A4PS0422P | 445          | 23.356401384083043 | -32.98    |
| 2022A8PS0424P | 441          | 24.048442906574394 | -31.98    |
| 2022A3PS0425P | 196          | 66.43598615916954  | +20.02    |
| 2022A3PS0427P | 262          | 55.01730103806228  | +7.02     |
| 2022A3PS0429P | 338          | 41.86851211072664  | -5.48     |
| 2022A3PS0430P | 128          | 78.20069204152249  | +38.02    |
| 2022A3PS0431P | 470          | 18.85813148788927  | -41.98    |
| 2022A3PS0437P | 300          | 48.442906574394456 | +2.02     |
| 2022A3PS0441P | 424          | 26.989619377162626 | -25.98    |
| 2022A3PS0444P | 441          | 24.048442906574394 | -31.98    |
| 2022A3PS0445P | 452          | 22.14532871972318  | -35.48    |
| 2022A3PS0447P | 217          | 63.14878892733564  | +16.02    |
| 2022A3PS0448P | 46           | 92.21453287197231  | +63.02    |
| 2022A4PS0449P | 148          | 74.74048442906573  | +30.52    |
| 2022A3PS0450P | 344          | 41.003460207612456 | -6.98     |
| 2022A3PS0451P | 146          | 74.91349480968857  | +31.52    |
| 2022A3PS0454P | 292          | 49.99999999999999  | +3.02     |
| 2022A3PS0455P | 63           | 89.27335640138408  | +55.52    |
| 2022A3PS0457P | 328          | 43.42560553633218  | -3.48     |
| 2022A3PS0458P | 186          | 67.99307958477507  | +23.02    |
| 2022A8PS0462P | 186          | 67.99307958477507  | +23.02    |
| 2022A3PS0465P | 133          | 77.3356401384083   | +37.02    |
| 2022A4PS0466P | 76           | 87.0242214532872   | +51.52    |
| 2022A3PS0467P | 445          | 23.356401384083043 | -32.98    |
| 2022A3PS0471P | 122          | 79.41176470588235  | +39.02    |
| 2022A3PS0473P | 292          | 49.99999999999999  | +3.02     |
| 2022A3PS0475P | 413          | 28.892733564013838 | -23.48    |
| 2022A3PS0476P | 427          | 26.297577854671278 | -26.48    |
| 2022A3PS0478P | 254          | 56.40138408304498  | +9.02     |
| 2022A3PS0479P | 208          | 64.53287197231833  | +17.52    |
| 2022A8PS0481P | 534          | 7.7854671280276815 | -72.98    |
| 2022A3PS0483P | 173          | 70.41522491349481  | +25.52    |
| 2022A3PS0484P | 274          | 53.28719723183391  | +5.52     |
| 2022A4PS0485P | 369          | 36.50519031141868  | -12.98    |
| 2022A4PS0490P | 248          | 57.439446366782    | +10.52    |
| 2022A3PS0492P | 311          | 46.36678200692041  | +0.52     |
| 2022A3PS0493P | 397          | 31.833910034602074 | -17.48    |
| 2022A3PS0498P | 40           | 93.77162629757785  | +64.52    |
| 2022A3PS0500P | 459          | 20.93425605536332  | -38.98    |
| 2022A4PS0502P | 441          | 24.048442906574394 | -31.98    |
| 2022A3PS0503P | 279          | 52.07612456747405  | +5.02     |
| 2022A3PS0504P | 260          | 55.363321799307954 | +7.52     |
| 2022A3PS0507P | 472          | 18.5121107266436   | -42.48    |
| 2022A3PS0508P | 89           | 84.94809688581314  | +47.52    |
| 2022A3PS0510P | 550          | 5.190311418685121  | -84.98    |
| 2022A8PS0511P | 573          | 1.0380622837370241 | -114.48   |
| 2022A8PS0515P | 244          | 58.304498269896186 | +11.52    |
| 2022A3PS0523P | 266          | 54.6712802768166   | +6.52     |
| 2022A3PS0526P | 270          | 53.46020761245674  | +6.02     |
| 2022A3PS0528P | 122          | 79.41176470588235  | +39.02    |
| 2022A1PS0530P | 439          | 24.221453287197228 | -31.48    |
| 2022A3PS0538P | 274          | 53.28719723183391  | +5.52     |
| 2022A8PS0539P | 212          | 63.49480968858131  | +16.52    |
| 2022A8PS0540P | 450          | 22.31833910034602  | -34.48    |
| 2022A4PS0543P | 492          | 15.224913494809687 | -49.98    |
| 2022A4PS0545P | 554          | 4.325259515570934  | -87.48    |
| 2022A4PS0546P | 459          | 20.93425605536332  | -38.98    |
| 2022A4PS0556P | 26           | 95.67474048442905  | +73.02    |
| 2022A8PS0557P | 191          | 67.30103806228374  | +22.02    |
| 2022A4PS0558P | 60           | 89.96539792387543  | +57.52    |
| 2022A8PS0561P | 334          | 42.56055363321799  | -4.48     |
| 2022A8PS0564P | 183          | 68.85813148788927  | +23.52    |
| 2022A8PS0566P | 448          | 22.837370242214533 | -33.48    |
| 2022A8PS0567P | 282          | 51.55709342560553  | +4.52     |
| 2022A8PS0570P | 372          | 35.98615916955017  | -13.48    |
| 2022A8PS0572P | 361          | 37.88927335640138  | -11.48    |
| 2022A4PS0578P | 204          | 65.05190311418684  | +18.02    |
| 2022A8PS0583P | 292          | 49.99999999999999  | +3.02     |
| 2022A8PS0586P | 122          | 79.41176470588235  | +39.02    |
| 2022A8PS0587P | 200          | 65.57093425605535  | +19.02    |
| 2022A1PS0589P | 162          | 72.31833910034601  | +27.52    |
| 2022A8PS0590P | 403          | 30.449826989619375 | -19.48    |
| 2022A8PS0591P | 374          | 35.46712802768166  | -13.98    |
| 2022A1PS0593P | 313          | 46.193771626297575 | +0.02     |
| 2022A8PS0595P | 169          | 71.28027681660899  | +26.52    |
| 2022A4PS0599P | 380          | 34.94809688581314  | -14.98    |
| 2022A8PS0611P | 60           | 89.96539792387543  | +57.52    |
| 2022A4PS0615P | 536          | 7.439446366782006  | -74.48    |
| 2022A4PS0617P | 364          | 37.370242214532865 | -11.98    |
| 2022A8PS0619P | 103          | 82.52595155709342  | +44.52    |
| 2022A8PS0620P | 304          | 47.923875432525946 | +1.52     |
| 2022A8PS0622P | 431          | 25.60553633217993  | -28.48    |
| 2022A4PS0624P | 410          | 29.238754325259514 | -22.98    |
| 2022A4PS0626P | 380          | 34.94809688581314  | -14.98    |
| 2022A4PS0634P | 244          | 58.304498269896186 | +11.52    |
| 2022A4PS0640P | 274          | 53.28719723183391  | +5.52     |
| 2022A1PS0643P | 361          | 37.88927335640138  | -11.48    |
| 2022A4PS0649P | 100          | 83.21799307958477  | +45.02    |
| 2022A4PS0651P | 417          | 28.027681660899653 | -24.48    |
| 2022A4PS0660P | 486          | 16.089965397923873 | -46.98    |
| 2022A1PS0661P | 547          | 5.536332179930795  | -83.48    |
| 2022A4PS0669P | 358          | 38.23529411764706  | -10.98    |
| 2022A4PS0673P | 296          | 49.13494809688581  | +2.52     |
| 2022A4PS0675P | 217          | 63.14878892733564  | +16.02    |
| 2022A4PS0676P | 449          | 22.491349480968857 | -33.98    |
| 2022A4PS0680P | 410          | 29.238754325259514 | -22.98    |
| 2022A4PS0684P | 430          | 25.778546712802765 | -27.98    |
| 2022A4PS0689P | 169          | 71.28027681660899  | +26.52    |
| 2022A4PS0694P | 236          | 59.51557093425605  | +12.52    |
| 2022A4PS0697P | 153          | 73.87543252595155  | +29.52    |
| 2022A4PS0702P | 418          | 27.854671280276815 | -24.98    |
| 2022A4PS0703P | 179          | 69.37716262975778  | +24.02    |
| 2022A4PS0708P | 228          | 61.072664359861584 | +14.02    |
| 2022A1PS0714P | 428          | 26.12456747404844  | -26.98    |
| 2022A4PS0716P | 322          | 44.80968858131487  | -1.98     |
| 2022A4PS0719P | 196          | 66.43598615916954  | +20.02    |
