+---------------+--------------+--------------+
| ID            |   Rank (566) |   Percentile |
|---------------+--------------+--------------|
| 2022A7PS0001P |          115 |    80.0353   |
| 2022A7PS0003P |           97 |    83.2155   |
| 2022A7PS0004P |          164 |    71.2014   |
| 2022A7PS0005P |          440 |    22.4382   |
| 2022A7PS0006P |          166 |    70.8481   |
| 2022A7PS0007P |          417 |    26.5018   |
| 2022A7PS0008P |          240 |    58.1272   |
| 2022A7PS0009P |          208 |    63.7809   |
| 2022A7PS0010P |           29 |    95.053    |
| 2022A7PS0011P |          440 |    22.4382   |
| 2022A7PS0012P |          414 |    27.0318   |
| 2022A7PS0013P |          143 |    74.9117   |
| 2022A7PS0014P |          162 |    71.5548   |
| 2022A4PS0015P |          226 |    60.6007   |
| 2022A7PS0016P |           78 |    86.3958   |
| 2022A7PS0017P |          194 |    65.9011   |
| 2022AAPS0019P |          352 |    38.1625   |
| 2022A8PS0020P |          516 |     9.0106   |
| 2022AAPS0021P |          272 |    52.2968   |
| 2022A3PS0022P |          416 |    26.6784   |
| 2022A3PS0023P |          107 |    81.2721   |
| 2022AAPS0025P |          278 |    51.2367   |
| 2022A4PS0026P |          264 |    53.5336   |
| 2022A3PS0027P |            4 |    99.47     |
| 2022AAPS0028P |          419 |    26.1484   |
| 2022A7PS0031P |          182 |    68.3746   |
| 2022A7PS0033P |          451 |    20.4947   |
| 2022A3PS0034P |          438 |    22.7915   |
| 2022A7PS0036P |            3 |    99.6466   |
| 2022A7PS0037P |          326 |    42.7562   |
| 2022A7PS0038P |          362 |    36.5724   |
| 2022A7PS0041P |          461 |    18.7279   |
| 2022A7PS0042P |          196 |    65.7244   |
| 2022A7PS0044P |          531 |     6.36042  |
| 2022A7PS0045P |           88 |    84.8057   |
| 2022A7PS0047P |          156 |    72.7915   |
| 2022A7PS0049P |          142 |    75.265    |
| 2022A7PS0051P |          546 |     3.71025  |
| 2022A7PS0053P |          444 |    21.9081   |
| 2022A7PS0054P |          226 |    60.6007   |
| 2022A7PS0055P |           10 |    98.4099   |
| 2022A7PS0056P |           30 |    94.8763   |
| 2022A7PS0057P |          376 |    34.0989   |
| 2022A7PS0058P |          487 |    14.1343   |
| 2022A7PS0063P |          564 |     0.706714 |
| 2022A7PS0065P |          268 |    52.8269   |
| 2022A7PS0067P |          545 |     3.88693  |
| 2022A7PS0068P |          480 |    15.5477   |
| 2022A7PS0069P |          474 |    16.6078   |
| 2022A7PS0070P |          182 |    68.3746   |
| 2022A7PS0073P |          538 |     5.12367  |
| 2022A7PS0074P |          186 |    67.4912   |
| 2022A7PS0076P |          292 |    48.7633   |
| 2022A7PS0077P |          565 |     0.353357 |
| 2022A7PS0078P |          179 |    68.5512   |
| 2022A7PS0079P |          424 |    25.265    |
| 2022A7PS0080P |            7 |    98.9399   |
| 2022A7PS0081P |          340 |    40.2827   |
| 2022A7PS0082P |          100 |    82.6855   |
| 2022A7PS0083P |          268 |    52.8269   |
| 2022A7PS0085P |          439 |    22.6148   |
| 2022A7PS0086P |          393 |    30.742    |
| 2022A7PS0087P |          110 |    80.9187   |
| 2022A7PS0088P |          196 |    65.7244   |
| 2022A7PS0089P |          380 |    33.2155   |
| 2022A7PS0091P |          297 |    47.7032   |
| 2022A7PS0092P |          566 |     0.176678 |
| 2022A7PS0093P |           75 |    87.1025   |
| 2022A7PS0094P |           19 |    96.9965   |
| 2022A7PS0097P |           48 |    91.6961   |
| 2022A7PS0098P |           94 |    83.7456   |
| 2022A7PS0100P |          218 |    61.8375   |
| 2022A7PS0102P |          176 |    69.0813   |
| 2022A7PS0103P |          213 |    62.7208   |
| 2022A7PS0105P |          380 |    33.2155   |
| 2022A7PS0106P |          422 |    25.7951   |
| 2022A7PS0107P |          348 |    38.6926   |
| 2022A7PS0109P |          423 |    25.4417   |
| 2022A7PS0110P |          294 |    48.2332   |
| 2022A7PS0111P |          340 |    40.2827   |
| 2022A7PS0113P |           17 |    97.1731   |
| 2022A7PS0114P |          404 |    28.9753   |
| 2022A7PS0115P |           70 |    87.9859   |
| 2022A7PS0116P |          548 |     3.35689  |
| 2022A7PS0118P |          139 |    75.6184   |
| 2022A7PS0119P |            8 |    98.7633   |
| 2022A7PS0120P |          414 |    27.0318   |
| 2022A7PS0121P |          322 |    43.2862   |
| 2022A7PS0123P |           23 |    96.1131   |
| 2022A7PS0124P |          124 |    78.2686   |
| 2022A7PS0125P |          250 |    56.0071   |
| 2022A7PS0126P |          154 |    72.9682   |
| 2022A7PS0128P |          242 |    57.4205   |
| 2022A7PS0130P |          508 |    10.6007   |
| 2022A7PS0131P |          480 |    15.5477   |
| 2022A7PS0132P |           19 |    96.9965   |
| 2022A7PS0133P |           72 |    87.6325   |
| 2022A7PS0134P |           32 |    94.523    |
| 2022A7PS0135P |          152 |    73.3216   |
| 2022A7PS0136P |          480 |    15.5477   |
| 2022A7PS0137P |          144 |    74.735    |
| 2022A7PS0138P |          115 |    80.0353   |
| 2022A7PS0140P |           37 |    93.6396   |
| 2022A7PS0141P |          252 |    55.6537   |
| 2022A7PS0142P |          128 |    77.5618   |
| 2022A7PS0143P |          392 |    30.9187   |
| 2022A7PS0144P |           66 |    88.6926   |
| 2022A7PS0145P |          118 |    79.5053   |
| 2022A7PS0146P |          370 |    34.9823   |
| 2022A7PS0147P |          318 |    43.9929   |
| 2022A7PS0148P |          376 |    34.0989   |
| 2022A7PS0150P |          213 |    62.7208   |
| 2022A7PS0152P |          358 |    37.1025   |
| 2022A7PS0153P |           41 |    93.1095   |
| 2022A7PS0154P |          156 |    72.7915   |
| 2022A7PS0155P |          527 |     7.06714  |
| 2022A7PS0156P |          500 |    11.8375   |
| 2022A7PS0157P |          322 |    43.2862   |
| 2022A7PS0158P |          319 |    43.8163   |
| 2022A7PS0159P |          167 |    70.6714   |
| 2022A7PS0160P |            2 |    99.8233   |
| 2022A7PS0164P |           12 |    98.0565   |
| 2022A7PS0165P |           88 |    84.8057   |
| 2022A7PS0166P |          146 |    74.5583   |
| 2022A7PS0168P |          230 |    59.7173   |
| 2022A7PS0169P |          358 |    37.1025   |
| 2022A7PS0170P |          426 |    24.9117   |
| 2022A7PS0171P |          470 |    17.1378   |
| 2022A7PS0172P |           26 |    95.9364   |
| 2022A7PS0173P |           34 |    94.1696   |
