+------+--------------+--------------+-----------+
|   ID |   Rank (580) |   Percentile |   Av Plus |
|------+--------------+--------------+-----------|
| 0007 |          350 |     40.1724  |    -10.17 |
| 0001 |          236 |     59.8276  |     11.83 |
| 0005 |          358 |     38.7931  |    -12.17 |
| 0009 |            7 |     98.9655  |     84.83 |
| 0008 |          129 |     78.1034  |     33.83 |
| 0003 |          428 |     26.5517  |    -27.17 |
| 0004 |          328 |     43.9655  |     -5.17 |
| 0006 |          418 |     28.7931  |    -25.17 |
| 0014 |          384 |     34.4828  |    -18.17 |
| 0016 |          186 |     68.4483  |     22.83 |
| 0010 |          430 |     26.2069  |    -28.17 |
| 0011 |          408 |     30.3448  |    -23.17 |
| 0012 |          191 |     67.5862  |     21.83 |
| 0017 |           90 |     85       |     43.83 |
| 0013 |           82 |     86.2069  |     45.83 |
| 0019 |          523 |     10       |    -59.17 |
| 0015 |          412 |     29.3103  |    -24.17 |
| 0022 |          482 |     17.069   |    -44.17 |
| 0025 |          159 |     73.2759  |     27.83 |
| 0020 |          509 |     12.5862  |    -52.17 |
| 0023 |          534 |      8.27586 |    -64.17 |
| 0026 |          504 |     13.6207  |    -50.17 |
| 0027 |          566 |      2.75862 |    -75.17 |
| 0021 |          456 |     21.8966  |    -35.17 |
| 0028 |          500 |     14.3103  |    -49.17 |
| 0031 |          514 |     11.7241  |    -55.17 |
| 0036 |          166 |     72.069   |     26.83 |
| 0033 |          448 |     23.2759  |    -32.17 |
| 0035 |          418 |     28.7931  |    -25.17 |
| 0037 |          430 |     26.2069  |    -28.17 |
| 0034 |          376 |     35.5172  |    -16.17 |
| 0045 |            1 |    100       |     97.83 |
| 0049 |           30 |     95.1724  |     62.83 |
| 0044 |          488 |     16.5517  |    -46.17 |
| 0041 |          444 |     23.9655  |    -31.17 |
| 0042 |          358 |     38.7931  |    -12.17 |
| 0047 |          148 |     75.3448  |     29.83 |
| 0058 |          577 |      1.2069  |    -80.17 |
| 0052 |          119 |     80.1724  |     35.83 |
| 0051 |          577 |      1.2069  |    -80.17 |
| 0053 |          534 |      8.27586 |    -64.17 |
| 0055 |           86 |     85.5172  |     44.83 |
| 0056 |           38 |     93.7931  |     60.83 |
| 0054 |          532 |      8.62069 |    -63.17 |
| 0057 |          137 |     77.2414  |     31.83 |
| 0067 |          569 |      2.06897 |    -77.17 |
| 0065 |          368 |     37.2414  |    -14.17 |
| 0063 |          577 |      1.2069  |    -80.17 |
| 0066 |          552 |      5.17241 |    -69.17 |
| 0068 |          465 |     20.3448  |    -37.17 |
| 0069 |          495 |     15.1724  |    -48.17 |
| 0075 |          242 |     58.7931  |     10.83 |
| 0073 |          548 |      6.03448 |    -68.17 |
| 0079 |          402 |     31.3793  |    -22.17 |
| 0070 |           18 |     97.069   |     74.83 |
| 0078 |           13 |     97.931   |     80.83 |
| 0076 |          509 |     12.5862  |    -52.17 |
